"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0unPBMjVwn0HpWget3DBze","Stefania (Kalush Orchestra)","spotify:artist:46rVVJwHWNS7C7MaWXd842","KALUSH","spotify:album:7cNf78nTSY57eTOE1auaBk","Stefania (Kalush Orchestra)","spotify:artist:46rVVJwHWNS7C7MaWXd842","KALUSH","2022-02-07","https://i.scdn.co/image/ab67616d0000b2734038db017a76c5b518d49dea","1","1","179714","","false","0","RUA012200233","spotify:user:koen_verhulst","2022-02-22T13:01:47Z","ukrainian hip hop,ukrainian pop,ukrainian viral pop","0.832","0.817","2","-5.182","1","0.0422","0.145","0.00169","0.113","0.324","104.976","4"
"spotify:track:1mhyrcFZHCXtPBTLkX8uXL","ZITTI E BUONI - Eurovision Version","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:6GZr34hDPyCBDz0EiCCUZ5","ZITTI E BUONI (Eurovision Version)","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2021-03-16","https://i.scdn.co/image/ab67616d0000b2739d6eb476c7880fdd932ea4f6","1","1","183531","https://p.scdn.co/mp3-preview/610081ea6c176d2c49dd106ee09dbceb8f6e9eb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","ITB002100170","spotify:user:koen_verhulst","2021-03-16T12:12:08Z","indie rock italiano,italian pop","0.612","0.947","4","-3.001","0","0.068","0.00142","0","0.73","0.634","102.901","4"
"spotify:track:1Xi84slp6FryDSCbzq4UCD","Arcade","spotify:artist:3klZnJvYGIbWritVwQD434","Duncan Laurence","spotify:album:7BISGeB7QwhqRIadxuLHfG","Arcade","spotify:artist:3klZnJvYGIbWritVwQD434","Duncan Laurence","2019-03-07","https://i.scdn.co/image/ab67616d0000b273a954408e456d4d9d410f448b","1","1","183624","https://p.scdn.co/mp3-preview/8c643f535922ca292d35b1ecea94134444bbf625?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","NL1TK1900001","spotify:user:koen_verhulst","2019-03-07T18:18:44Z","dutch pop","0.45","0.329","9","-12.603","0","0.0441","0.818","0.00109","0.135","0.266","71.884","3"
"spotify:track:0y8Xwpsof5R8TDftRyitKg","Toy - Music Video Version","spotify:artist:4Z4afeDmHFxPmJorIwupbZ","Netta","spotify:album:2FIxt8ZoANE9qfDo8NDAMs","Toy (Music Video Version)","spotify:artist:4Z4afeDmHFxPmJorIwupbZ","Netta","2018-03-15","https://i.scdn.co/image/ab67616d0000b273c4928716f4f5992f2e7389d1","1","1","180230","https://p.scdn.co/mp3-preview/59e84a94fe6b6557dd550aabe82a9c1e2a3961ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","IL5181100110","spotify:user:koen_verhulst","2020-09-25T12:41:51Z","eurovision,israeli pop","0.56","0.746","3","-5.384","0","0.111","0.1","0","0.321","0.743","130.037","4"
"spotify:track:3UjSOJ00E1eLMcayBm827Q","Amar Pelos Dois","spotify:artist:0GfYO21pue5u0sVEYk9HZO","Salvador Sobral","spotify:album:3zT1inKSRDpJvkAXGV7fBd","Amar Pelos Dois","spotify:artist:0GfYO21pue5u0sVEYk9HZO","Salvador Sobral","2017-03-10","https://i.scdn.co/image/ab67616d0000b27306a4fa4f796f568d5830ebc2","1","1","185080","https://p.scdn.co/mp3-preview/8a2a476ffd1b0d81dab082b702108e5d95d9eb81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","PTNO11700001","spotify:user:koen_verhulst","2017-06-22T17:25:33Z","portuguese pop","0.215","0.0952","5","-17.769","1","0.0358","0.853","0.00426","0.261","0.16","172.692","3"
"spotify:track:2nxTpjhxLXeyBOxYnRnT76","1944","spotify:artist:4EXfia20rgVLyubQiYtOIC","Jamala","spotify:album:1XomkUS0e4754Zmn7bOaJk","1944","spotify:artist:4EXfia20rgVLyubQiYtOIC","Jamala","2017-05-12","https://i.scdn.co/image/ab67616d0000b27389dd8f620c8d9185636329fe","1","1","180839","https://p.scdn.co/mp3-preview/d975aeccee096575dfe4d8ba6ed9737e49aa6f15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","QMPU51509675","spotify:user:koen_verhulst","2017-06-22T17:19:07Z","eurovision,tatar pop,ukrainian indie,ukrainian pop,ukrainian rock","0.809","0.506","3","-5.235","1","0.0565","0.596","0.00728","0.24","0.47","120.012","4"
"spotify:track:4ciaNqHWA2IzHphZaVRzHI","Heroes","spotify:artist:1IxP1g9VrPzJqXFCsuyHKe","Måns Zelmerlöw","spotify:album:6G6DMOiYMgVZLGs9nmNEJh","Heroes","spotify:artist:1IxP1g9VrPzJqXFCsuyHKe","Måns Zelmerlöw","2015-02-28","https://i.scdn.co/image/ab67616d0000b27303e5cd20130bc76fad43f7b3","1","1","190613","https://p.scdn.co/mp3-preview/947a2040e12a39bcceac34c57280ac58c7bcd099?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","SEPQA1401135","spotify:user:koen_verhulst","2017-06-22T17:38:51Z","europop,eurovision,swedish idol pop,swedish pop","0.484","0.791","7","-4.27","1","0.0437","0.0743","0","0.0491","0.369","124.008","4"
"spotify:track:1ijX03QOR6a1wI322HifSV","Rise Like a Phoenix","spotify:artist:1TGdxJ3UvFq055SVjwx49v","Conchita Wurst","spotify:album:3Fpq5QWmRxZtEE8h8bm04S","Conchita","spotify:artist:1TGdxJ3UvFq055SVjwx49v","Conchita Wurst","2015-05-15","https://i.scdn.co/image/ab67616d0000b273ea73c21a7ce19ccfbf9f28d7","1","11","183000","https://p.scdn.co/mp3-preview/b8f07dcb2d1be156224ad6fbe86c18995fa6a8b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","ATB151500032","spotify:user:koen_verhulst","2017-06-22T17:32:09Z","eurovision","0.425","0.503","2","-6.324","0","0.0256","0.142","0","0.105","0.23","81.653","4"
"spotify:track:3yRwgprKX3If2zcuGfKFBu","Only Teardrops","spotify:artist:3wQcURnqzPGHE0gzY5nE6G","Emmelie de Forest","spotify:album:2oeLglOCLcszlJtjUh4aQp","Only Teardrops","spotify:artist:3wQcURnqzPGHE0gzY5nE6G","Emmelie de Forest","2013-05-02","https://i.scdn.co/image/ab67616d0000b27353a4e5b4d1f437e484eca7a5","1","1","183240","https://p.scdn.co/mp3-preview/c2503a1e1c01b97a4e6e0669e411020c7cdfd20f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","DKADG1200760","spotify:user:koen_verhulst","2017-06-22T17:19:05Z","eurovision","0.561","0.844","0","-4.58","1","0.063","0.0945","0","0.22","0.446","110.968","4"
"spotify:track:1xN7BpTAWnZkuSLOtRP6Qc","Euphoria - Single Version","spotify:artist:49aaHxvAJ0tCh0F15OnwIl","Loreen","spotify:album:1KfKXG5VRlDTX55wq5bXbv","Euphoria","spotify:artist:49aaHxvAJ0tCh0F15OnwIl","Loreen","2012-02-26","https://i.scdn.co/image/ab67616d0000b2732eed518e2b7148e1933a672f","1","1","181786","https://p.scdn.co/mp3-preview/46628183a2154957ed89ff7d515c80437c48fc41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","SEPQA1200005","spotify:user:koen_verhulst","2017-06-22T17:19:07Z","electropop,europop,eurovision,swedish pop","0.562","0.783","11","-4.727","0","0.0428","0.135","0.0000144","0.282","0.391","132.06","4"
