Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Netherlands;jetty paerl;de vogels van holland;Dutch;;1956;6.625263157894736;0;53v8JEZeIvmIapoT4f4bMP
Switzerland;lys assia;das alte karussell;German;;1956;6.091111111111111;1;6fVu9spFhbIk5QQVcywV21
Belgium;fud leclerc;messieurs les noyés de la seine;French;;1956;5.811282051282052;2;7LWfCb2AE3XQeLhdgrMsxq
Germany;walter andreas schwarz;im wartesaal zum großen glück;German;;1956;6.191612903225807;3;6GEjmkRXCf0WCWptS9sRGb
France;mathé altéry;le temps perdu;French;;1956;6.237096774193548;4;3T49RXw5F3qggp5tBUVfpB
Luxembourg;michèle arnaud;ne crois pas;French;;1956;6.211764705882352;5;5lKzkbg1Ppj8OxlkWP7wMQ
Italy;franca raimondi;aprite le finestre;Italian;;1956;6.8354285714285705;6;6iz5UtiullDvpfwybal7P2
Netherlands;corry brokken;voorgoed voorbij;Dutch;;1956;6.364210526315788;7;1IajagHqUN9wn1DjHBithw
Switzerland;lys assia;refrain;French;1.0;1956;6.077878787878788;8;3ijeTyo5ggRvM0DTfZflBB
Belgium;mony marc;le plus beau jour de ma vie;French;;1956;6.539047619047618;9;0bhe4GXAZsKViKVO4MHsFR
Germany;freddy quinn;so geht das jede nacht;German;;1956;6.745882352941175;10;7vv2TYeybaCRBPEahE1f1D
France;dany dauberson;il est là;French;;1956;5.7329729729729735;11;6yhwuCSMogu1HspjZNstzm
Luxembourg;michèle arnaud;les amants de minuit;French;;1956;5.83909090909091;12;4xwDaFSzxOpj2iifBBtVnE
Italy;tonina torrielli;amami se vuoi;Italian;;1956;5.50611111111111;13;29MuExCtxHcENFgArRTFMI
Belgium;bobbejaan schoepen;straatdeuntje;Dutch;8.0;1957;6.3761111111111095;14;1bcMtJuW1xwfnQOA1Pa8zw
Luxembourg;danièle dupré;amours mortes;French;4.0;1957;4.898399999999999;15;
United Kingdom;patricia bredin;all;English;7.0;1957;6.7215384615384615;16;4Sqs1vBhEoo3dfqMvUPhgh
Italy;nunzio gallo;corde della mia chitarra;Italian;6.0;1957;5.487499999999999;17;7e9wO0TSNAs96XjjJaqKRV
Austria;bob martin;wohin, kleines pony?;German;10.0;1957;6.902142857142856;18;0mLmt6DBB2QITlKPXLwSxn
Netherlands;corry brokken;net als toen;Dutch;1.0;1957;6.592727272727272;19;7gFOOmJFNZMvOzNVPLIer3
Germany;margot hielscher;telefon, telefon;German (Engl./Fr./It./Sp.);4.0;1957;6.398260869565218;20;21Rc1BtK7weDmW2caDLWus
France;paule desjardins;la belle amour;French;2.0;1957;6.4126666666666665;21;5fZE54IpQqL4qOzkzx9i8n
Denmark;birthe wilke & gustav winckler;skibet skal sejle i nat;Danish;3.0;1957;5.948723404255318;22;5ZVbTmaOdEol20RDp2SNJu
Switzerland;lys assia;l'enfant que j'étais;French;8.0;1957;6.425;23;01sQcEG7fSc0gj2pDuQjki
Italy;domenico modugno;nel blu dipinto di blu;Italian;3.0;1958;6.829999999999999;24;0QceOqQ2vmiRfCjJwgHwqA
